Date,Close/Last,Volume,Open,High,Low
3/30/2020,$370.96 ,8621964,$363 ,$377.80 ,$361.17 
3/27/2020,$357.12 ,7948775,$359.09 ,$368.56 ,$353 
3/26/2020,$362.99 ,7235016,$344 ,$363.84 ,$341.73 
3/25/2020,$342.39 ,8767171,$361.02 ,$362 ,$339.17 
3/24/2020,$357.32 ,11638680,$369.99 ,$372.93 ,$353.03 
3/23/2020,$360.27 ,13449380,$347.89 ,$366.11 ,$340.88 
3/20/2020,$332.83 ,10853850,$342.31 ,$350.49 ,$332 
3/19/2020,$332.03 ,10615960,$324.33 ,$348.51 ,$316.82 
3/18/2020,$315.47 ,12593650,$302.40 ,$331.58 ,$300 
3/17/2020,$319.75 ,10013910,$306.19 ,$322.90 ,$290.25 
3/16/2020,$298.84 ,10559940,$306.63 ,$334.35 ,$294.75 
3/13/2020,$336.30 ,9458197,$330.51 ,$336.42 ,$307.39 
3/12/2020,$315.25 ,12071590,$326.50 ,$335.72 ,$307.32 
3/11/2020,$349.92 ,6058782,$358.92 ,$362.98 ,$344.79 
3/10/2020,$364.13 ,7604444,$356.43 ,$364.54 ,$347.85 
3/9/2020,$346.49 ,7405458,$343.86 ,$357.47 ,$341.72 
3/6/2020,$368.97 ,8147165,$367.70 ,$371.31 ,$356.85 
3/5/2020,$372.78 ,8746985,$381 ,$391.40 ,$368.64 
3/4/2020,$383.79 ,5487340,$377.77 ,$384.01 ,$370.51 
3/3/2020,$368.77 ,8364623,$381.03 ,$393.52 ,$367.40 
3/2/2020,$381.05 ,6997891,$373.11 ,$381.36 ,$364.50 
2/28/2020,$369.03 ,11178570,$364.21 ,$376.77 ,$356.80 
2/27/2020,$371.71 ,10967700,$371.46 ,$391.56 ,$370.60 
2/26/2020,$379.24 ,8961126,$366.31 ,$382 ,$365 
2/25/2020,$360.09 ,6481243,$372 ,$375.65 ,$357.72 
2/24/2020,$368.70 ,6936418,$364.76 ,$372.82 ,$361 
2/21/2020,$380.07 ,3935618,$385.33 ,$387.32 ,$377.90 
2/20/2020,$386 ,4079425,$386.56 ,$389.70 ,$376.68 
2/19/2020,$386.19 ,4896368,$388.12 ,$392.95 ,$384.90 
2/18/2020,$387.78 ,5180400,$379.30 ,$389.54 ,$379.19 
2/14/2020,$380.40 ,3736266,$381.47 ,$385.15 ,$379.43 
2/13/2020,$381.40 ,4485383,$376.96 ,$385.37 ,$376.51 
2/12/2020,$380.01 ,4624772,$377.18 ,$380.62 ,$375.88 
2/11/2020,$373.69 ,4772870,$373.75 ,$378.11 ,$369.72 
2/10/2020,$371.07 ,5294138,$365 ,$374.80 ,$362.52 
2/7/2020,$366.77 ,4385227,$365.04 ,$371.80 ,$363.57 
2/6/2020,$366.95 ,3920428,$369.60 ,$371.55 ,$362.51 
2/5/2020,$369.67 ,6437026,$375.13 ,$375.25 ,$362.30 
2/4/2020,$369.01 ,7161451,$361 ,$369.57 ,$356.10 
2/3/2020,$358 ,6674885,$347.24 ,$359.63 ,$346.28 
1/31/2020,$345.09 ,5230001,$347.39 ,$347.39 ,$340.98 
1/30/2020,$347.74 ,5328136,$341.10 ,$348.20 ,$339.25 
1/29/2020,$343.16 ,7649183,$349 ,$349.40 ,$338.55 
1/28/2020,$348.52 ,6821581,$345.88 ,$352.40 ,$342.78 
1/27/2020,$342.88 ,7709482,$345.95 ,$351.90 ,$341.02 
1/24/2020,$353.16 ,17939680,$348.46 ,$359.85 ,$345.88 
1/23/2020,$349.60 ,18200290,$326.04 ,$349.88 ,$325.01 
1/22/2020,$326 ,21729960,$332.55 ,$336.30 ,$323.60 
1/21/2020,$338.11 ,14350320,$340 ,$341 ,$332.59 
1/17/2020,$339.67 ,6066547,$341 ,$341.57 ,$337.38 
1/16/2020,$338.62 ,5015997,$343.50 ,$343.56 ,$335.85 
1/15/2020,$339.07 ,5158035,$338.68 ,$343.17 ,$336.60 
1/14/2020,$338.69 ,7201544,$344.40 ,$345.38 ,$335.52 
1/13/2020,$338.92 ,6296174,$331.80 ,$340.85 ,$331.51 
1/10/2020,$329.05 ,4720540,$337.13 ,$338.50 ,$327.27 
1/9/2020,$335.66 ,4717430,$342 ,$343.42 ,$334.61 
1/8/2020,$339.26 ,7109117,$331.49 ,$342.70 ,$331.05 
1/7/2020,$330.75 ,4742458,$336.47 ,$336.70 ,$330.30 
1/6/2020,$335.83 ,5668577,$323.12 ,$336.36 ,$321.20 
1/3/2020,$325.90 ,3795466,$326.78 ,$329.86 ,$325.53 
1/2/2020,$329.81 ,4348493,$326.10 ,$329.98 ,$324.78 
12/31/2019,$323.57 ,3714837,$322 ,$324.92 ,$321.09 
12/30/2019,$323.31 ,4315267,$329.08 ,$329.19 ,$322.86 
12/27/2019,$329.09 ,5037156,$332.96 ,$333.82 ,$326.01 
12/26/2019,$332.63 ,3595854,$334.60 ,$336.46 ,$332.01 
12/24/2019,$333.20 ,2019322,$334.01 ,$335.70 ,$331.60 
12/23/2019,$333.10 ,5767937,$337.76 ,$337.95 ,$331.02 
12/20/2019,$336.90 ,9923260,$335 ,$338 ,$330.60 
12/19/2019,$332.22 ,9833355,$324.50 ,$332.83 ,$324.18 
12/18/2019,$320.80 ,11210740,$316.26 ,$325.36 ,$315.60 
12/17/2019,$315.48 ,10437130,$307.36 ,$316.80 ,$306.60 
12/16/2019,$304.21 ,4660166,$300.85 ,$305.71 ,$298.63 
12/13/2019,$298.50 ,3883069,$298.50 ,$301.80 ,$297.25 
12/12/2019,$298.44 ,4771404,$295.67 ,$299.17 ,$295.06 
12/11/2019,$298.93 ,5607155,$294.49 ,$299.43 ,$294.20 
12/10/2019,$293.12 ,10481240,$296.12 ,$298.94 ,$292.02 
12/9/2019,$302.50 ,5766006,$307.35 ,$311.49 ,$302.44 
12/6/2019,$307.35 ,4459684,$304.70 ,$307.85 ,$302.60 
12/5/2019,$302.86 ,4618867,$305.27 ,$306.48 ,$298.81 
12/4/2019,$304.32 ,3513551,$308.43 ,$308.43 ,$303.27 
12/3/2019,$306.16 ,5272447,$302.22 ,$307.36 ,$301.88 
